"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2016/12/16 12:52:58 PM GMT-3","Organización de Datos - Argerich","Excelente","Sí","Muy Interesantes","Sí","Excelentes","No Hay Clases Prácticas","Normal","Normal","Excelente curso! Los temas de la materia están buenisimo y Luis los explica con mucha dedicación, muy claro y entretenido."
"2016/12/16 12:53:43 PM GMT-3","Sistemas Operativos - Clua","Bueno","Sí","Poco Interesantes","No","Malas","Regulares","Normal","Normal","Muccio me resultó una persona bastante desagradable en cuanto a su trato hacia los alumnos. Su criterio de corrección parecía arbitrario"
"2016/12/16 12:54:21 PM GMT-3","Introducción a los Sistemas Distribuidos - Bernardez","Bueno","Sí","Interesantes","Sí","Regulares","Muy Buenas","Normal","Normal",""
"2016/12/16 12:54:52 PM GMT-3","Calidad en el Desarrollo del Software - Pantaleo","Malo","Sí","Poco Interesantes","No","Malas","Malas","Dificil","Dificil",""
"2016/12/16 12:54:57 PM GMT-3","Arquitectura de Software - Diez","Muy Bueno","Sí","Muy Interesantes","Sí","Malas","Excelentes","Facil","Normal","La teórica no existe. En contraste, las prácticas son de un excelente nivel. Sería muy bueno que en algún momento el docente de la práctica pueda tomar la teórica"
"2016/12/16 12:56:12 PM GMT-3","Taller de Desarrollo de Proyectos 1 - Pignataro","Muy Bueno","Sí","Interesantes","Sí","Excelentes","No Hay Clases Prácticas","Facil","Normal","Las pocas clases teóricas dictadas por el jtp son excelentes realmente"
"2016/12/16 12:56:34 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Regular","No","Interesantes","Sí","Regulares","Buenas","Muy Dificil","Muy dificil",""
"2016/12/16 12:57:16 PM GMT-3","Algoritmos y Programación 3 - Fontela","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Normal","Dificil",""
"2016/12/16 12:57:41 PM GMT-3","Computación-Arriazu","Bueno","Sí","Interesantes","Sí","Muy Buenas","Malas","Normal","No hay TP",""
"2016/12/16 12:58:50 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Muy Bueno","Sí","Interesantes","Sí","Excelentes","Buenas","Muy Facil","Muy Fácil",""
"2016/12/16 1:06:15 PM GMT-3","Análisis Numérico - Schwarz","Muy Bueno","Sí","Interesantes","Sí","Buenas","Excelentes","Normal","Dificil",""
"2016/12/16 1:13:43 PM GMT-3","Sistemas Operativos - Clua","Bueno","Sí","Interesantes","No","Buenas","Buenas","Normal","Normal",""
"2016/12/16 1:14:08 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Bueno","No","Interesantes","No","Regulares","Malas","Normal","Dificil",""
"2016/12/16 1:14:35 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Normal","Siempre hay alguien dispuesto a contestar consultas"
"2016/12/16 1:15:02 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Buenas","Excelentes","Normal","Dificil",""
"2016/12/16 1:15:56 PM GMT-3","Algoritmos y Programación 2 - Calvo","Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Facil","Normal",""
"2016/12/16 1:28:52 PM GMT-3","Algoritmos y Programación 1 - Mendez","Regular","No","Interesantes","No","Buenas","Muy Buenas","Normal","Normal","Curso con buenos ayudantes en las clases practicas, y teoria buena de parte del profesor a cargo. Revisar enunciados rebuscados o confusos de examenes sin necesidad alguna y no aplicables a la realidad. Falta de interes en la opinion de ayudantes o del alumno en temas relacionados a la materia por parte del profesor a cargo. Horario puntual. "
"2016/12/16 1:31:17 PM GMT-3","Algoritmos y Programación 3 - Fontela","Bueno","Sí","Interesantes","Sí","Muy Buenas","Buenas","Normal","Normal","Falta velocidad de los colaboradores, tanto para corregir como para responder dudas via campus/mail."
"2016/12/16 1:34:40 PM GMT-3","Análisis Numérico - Griggio","Regular","Sí","Poco Interesantes","No","Regulares","Buenas","Facil","Normal","No es que las clases teóricas sean malas. Explica todo y bien, pero de la forma que estan dadas se hacen muy tediosas e imposibles de seguir. Terminas leyendo todo de algun libro o apunte.
Sobre si estaban actualizados los temas, desconozco, pero tengo entendido que respeta los contenidos minimos de la materia."
"2016/12/16 1:41:17 PM GMT-3","Administración y Control de Proyectos 1 - Fontela","Bueno","No","Interesantes","Sí","Excelentes","Buenas","Dificil","No hay TP","Teorica y practica buenas. Criterios de corrección del parcial poco claros. Si pueden te vacunan."
"2016/12/16 1:41:40 PM GMT-3","Organización de Datos - Argerich","Bueno","No","Interesantes","Sí","Buenas","Buenas","Muy Dificil","Muy dificil",""
"2016/12/16 1:42:23 PM GMT-3","Inteligencia Artificial - Cabrera","Malo","Sí","Muy Interesantes","No","Malas","No Hay Clases Prácticas","Muy Facil","Muy Fácil","Es un curso que da 6 créditos pero que hubo apenas un promedio de una hora  de clase por semana. Por default se pierden dos horas porque los viernes a la mañana no hay clase por más que así diga el horario. La primera clase fue ""administrativa"" en la que en 15 minutos el profesor explicó la modalidad ""promocionable"" de la materia y se fue. Luego hubo otras dos ocasiones en las que avisó el mismo día por e-mail que la clase se supsendía ""por motivos de fuerza mayor"" cuando no había ninguna explicación (no había paro ni nada raro esos días). Los días en los que hubo clases normales no llegaban a durar dos horas y eran realmente malas. Cabrera explicaba todos los temas muy por encima y además tiene una muy mala oratoria y modulación, de manera tal que tampoco se le entendía bien fonéticamente lo que estaba intentando transmitir. El examen parcial consistió en cinco preguntas muy genéricas que se respondían en dos renglones. Ese fue el único día en que el aula estuvo llena dado que muy pocas personas asistieron a las clases teóricas y estudiaron de las presentaciones de powerpoint que están subidas al Campus Virtual. Nadie de los que se presentaron desaprobó. Incluso aquellos que respondieron solo dos preguntas obtuvieron un 4 (esas personas además debieron presentar un TP extra cuya consigna era ""explicar cómo funciona Weka"" y nunca recibieron feedback al respecto, solo la aprobación de la materia). Las únicas personas que fueron a los recuperatorios son las que no se presentaron a la fecha original y también aprobaron.
Hubo un TP grupal cuya consigna consistía en crear un árbol de decisión con Weka sobre cualquier tema, explicar cómo se armó y mostrar las conclusiones. Había que entregar un informe y unas diapositivas. La idea era mostrar las diapositivas en clase y presentar el trabajo realizado pero solamente un grupo llegó a hacerlo porque ese día se cortó la luz en la facultad y hubo que evacuarla. Al viernes siguiente no estaba disponible el proyector por lo que el profesor decidió que no haya presentaciones y finalmente, como ya se terminaba el cuatrimestre el profesor determinó que no se iba a hacer presentaciones y que se iba a evaluar únicamente el informe. Nunca hubo feedback sobre el TP y la nota final de la materia de cada uno fue directamente la nota del parcial (los que tuvieron menos de 7 en el parcial terminaron teniendo 7). No hubo examen final. Había que anotarse a la fecha indicada para que Cabrera firmara la libreta (apareció una hora tarde y en un aula que no era la indicada).
En definitiva, esta materia es un completo fiasco, lo cual es de público conocimiento y lo sabía antes de anotarme pero honestamente me arrepiento mucho de haber robado 6 créditos de esa manera y especialmente cuando es una materia que trata temas muy interesantes. Muchísima gente se anota en este curso por el mismo motivo (muchos son estudiantes extranjeros de intercambio) y ahora me da vergüenza tener la firma de Cabrera en la libreta."
"2016/12/16 1:43:47 PM GMT-3","Organización de Datos - Argerich","Excelente","No","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Muy Dificil","Dificil",""
"2016/12/16 1:44:33 PM GMT-3","Simulación - Cadoche","Regular","Sí","Poco Interesantes","No","Regulares","Regulares","Facil","Fácil","Totalmente desactualizado"
"2016/12/16 1:48:58 PM GMT-3","Algoritmos y Programación 3 - Fontela","Bueno","Sí","Interesantes","Sí","Muy Buenas","Regulares","Normal","Dificil","El problema mas grande para mi fue que los docentes no responden los emails nunca. Ni el corrector asignado ni los demas."
"2016/12/16 1:52:39 PM GMT-3","Calidad en el Desarrollo del Software - Pantaleo","Malo","Sí","Nada Interesantes","No","Malas","Malas","Normal","Dificil","El TP en si no es dificil. Pero el método de evaluación es ridículo. Mucha gente desaprobada por TP, sin posibilidad de reentrega"
"2016/12/16 1:53:11 PM GMT-3","Técnicas de Diseño - Pantaleo","Regular","Sí","Poco Interesantes","No","Malas","Buenas","Normal","Dificil","Las clases y exámenes del profesor Pantaleo no tienen sentido, los profesores de la práctica le ponen onda y el tp es muy interesante y esta bien planteado "
"2016/12/16 1:55:00 PM GMT-3","Computación-Lage","Muy Bueno","Sí","Interesantes","Sí","Buenas","Muy Buenas","Normal","Normal",""
"2016/12/16 1:55:03 PM GMT-3","Taller de Desarrollo de Proyectos 2 - Fontela","Excelente","Sí","Interesantes","Sí","No hay clases teóricas","No Hay Clases Prácticas","Dificil","Dificil","Muy bueno. Una manera de entender cómo afrontar un proyecto en la vida laboral. Aunque con algunas cosas algo irreales y complicadas.
De todas formas todo fue dicho en la retrospectiva de dicha materia"
"2016/12/16 1:56:32 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Muy Bueno","Sí","Muy Interesantes","Sí","Regulares","Excelentes","Normal","Dificil","Las clases teóricas de Wachenchauzer no son muy buenas, son díficiles de seguir o no aportan mucho. Responde excelentemente las consultas, sin embargo, y las clases prácticas son generalmente buenas."
"2016/12/16 1:56:47 PM GMT-3","Algoritmos y Programación 3 - Fontela","Muy Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Normal","Normal",""
"2016/12/16 1:56:51 PM GMT-3","Técnicas de Diseño - Pantaleo","Regular","Sí","Muy Interesantes","No","Malas","Buenas","Facil","Fácil","Es una materia con temas muy interesantes pero el pobre nivel de la teorica hace que no llegue a todo su potencial. Comentario aparte para los parciales con una correccion muy dudosa. La practica esta buena y los ayudantes tienen muchas ganas de enseñar , lastima que esta totalmente descordinada de la teorica. "
"2016/12/16 1:57:23 PM GMT-3","Organización del Computador - Benitez","Bueno","Sí","Interesantes","No","Regulares","Buenas","Dificil","Dificil","Las clases teóricas necesitan un mejor enfoque."
"2016/12/16 1:57:32 PM GMT-3","Computación-Arriazu","Bueno","Sí","Interesantes","No","Buenas","Regulares","Normal","No hay TP","Alejandra y Victor le meten onda. No es promocionable lo cual no incentiva a lagurar mucho."
"2016/12/16 1:58:28 PM GMT-3","Taller de Programación 1 - Azcurra","Muy Bueno","Sí","Muy Interesantes","Sí","No hay clases teóricas","No Hay Clases Prácticas","Normal","Dificil",""
"2016/12/16 1:59:52 PM GMT-3","Calidad en el Desarrollo del Software - Pantaleo","Malo","Sí","Poco Interesantes","No","Malas","Malas","Normal","Normal","Criterios difíciles de entender al corregir parcial y tp, que se explican después del examen y no necesariamente en las clases... 

No hay reentregas de tp, forzando a varios a recursar por pequeñeces"
"2016/12/16 2:00:11 PM GMT-3","Organización del Computador - Benitez","Regular","No","Poco Interesantes","No","Muy Buenas","Regulares","Dificil","Dificil","Creo que se le dedica poco tiempo al segundo caso de estudio (Intel) y hay muy poca información, tanto en la página de la cátedra como en la web en general. En cuanto al material provisto por la cátedra, muchas veces es insuficiente: de no haberme metido en un grupo de Facebook no oficial de la materia, nunca habría conocido herramientas que me permitieron entender lo que estaba haciendo y debuggear mis TPs. 
Además, la entrega del TP se reduce a una mera acreditación, y poco se aprende de los errores. Para cuando llegué a la defensa de mi TP nadie había leído el código, y simplemente se limitaron a probar la funcionalidad intentando ""romperlo"" con casos borde y demás. Muy poco formativo en general."
"2016/12/16 2:00:45 PM GMT-3","Organización del Computador - Benitez","Muy Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Dificil","Normal",""
"2016/12/16 2:01:49 PM GMT-3","Inteligencia Artificial - Cabrera","Regular","Sí","Interesantes","Sí","Regulares","Regulares","Muy Facil","Muy Fácil",""
"2016/12/16 2:03:07 PM GMT-3","Algoritmos y Programación 3 - Suarez","Bueno","Sí","Muy Interesantes","Sí","Buenas","Regulares","Facil","Dificil",""
"2016/12/16 2:05:55 PM GMT-3","Organización del Computador - Benitez","Regular","No","Interesantes","No","Buenas","Regulares","Muy Dificil","Muy dificil",""
"2016/12/16 2:06:44 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Buenas","Excelentes","Normal","Normal","Excelente, gran predisposición por parte del docente y los ayudantes mas que nada, con las entregas semanales hacen que lleves la materia al día y que sea llevadera.

Nada mas que decir."
"2016/12/16 2:07:32 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Excelente","Sí","Interesantes","Sí","Buenas","Excelentes","Normal","Normal",""
"2016/12/16 2:10:14 PM GMT-3","Algoritmos y Programación 2 - Calvo","Muy Bueno","Sí","Muy Interesantes","Sí","Regulares","Excelentes","Normal","Normal","Los temas de final se dan muy rápido y en muy poco tiempo"
"2016/12/16 2:16:13 PM GMT-3","Algoritmos y Programación 1 - Mendez","Muy Bueno","No","Interesantes","Sí","Buenas","Muy Buenas","Normal","Dificil",""
"2016/12/16 2:16:50 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Excelentes","Normal","Dificil",""
"2016/12/16 2:17:12 PM GMT-3","Calidad en el Desarrollo del Software - Pantaleo","Bueno","Sí","Interesantes","Sí","Buenas","Malas","Normal","Normal","Las malas calificaciones no vienen a por el curso en si, ni por los temas, sino por  los (las) docentes encargados de la práctica.
La parte práctica consiste en aprobar un parcial y realizar un TP a lo largo de la cursada. Empecemo por el TP.
El trabajo tiene 3 instancias de correccion intermedias y una entrega final. Lo que sucede es que en cada checkpoint (entrega parcial) no hay casi correcciones sobre el trabajo por parte de los docentes. Al punto que si algo esta mal, se puede pasar todo el tiempo de la corrección debatiendo sobre si eso esta mal o no, y no se revisa el resto del trabajo. Esto es un problema, porque de la entrega final, no hay recorreccion. El trabajo esta o aprobado o se recursa la materia. Al no haber correcciones intermedias en el TP, muchos grupos (5 de 12) terminaron con la entrega final reprobada este cuatrimestre.
Se tiene ademas un criterio de correccion sin sentido. Si no se envia una minuta de la reunion de cada checkpoint, antes de pasadas las 48 horas, se considera que esa entrega esta desaprobada, y no se puede desaprobar mas de una entrega parcial. Se ve que en vez de corregir que los contenidos esten bien y ayudar a guiar el camino se busca simplemente ""corregir"" que las cosas esten dentro de un marco establecido y listo.
Con el parcial ocurre una situacion similar. Uno recien se entera de lo que tiene que hacer y como, luego de haberlo rendido y haber tenido la correccion del mismo. Pasa quegran cantidad de alumnos desaprueban el parcial porque conceptos claves que hacen desaprobar el mismo no son explicados correctamente si no hasta, justamente, luego de dar el examen.
Por ultimo, sobre la practica, queria agregar que las docentes no tienen un criterio definido. Se contradicen constantemente. Para dar un ejemplo, se le pregunto a una de las docentes previo a hacer una entrega parcial sobre que approach tomar (A o B) respondiendo que definitivamente A porque B era demasiado extenso y con A estaba bien. Al presentar A en la entrega parcial y ser corregidos por la otra docente, se nos dice que A estaba definitivamente mal y que deberíamos haber elegido B.

Luego, la materia en si no tiene mucha conexion entre la parte practica y la parte teorica (como ocurre tambien en otras materias de Pantaleo). Hay mucha incomunicacion entre ambas partes. Al punto de que cada dia no sabian si la otra parte iba a dar clase o no (por ejemplo en situaciones de paros o cortes)."
"2016/12/16 2:21:20 PM GMT-3","Organización de Datos - Servetto","Bueno","Sí","Interesantes","Sí","Regulares","Regulares","Normal","Fácil","Muy mal manejados los tiempos del tp, correcciones, y muy poca asistencia de los alumnos, eramos 3 fijos"
"2016/12/16 2:21:21 PM GMT-3","Base de Datos - Ale","Regular","Sí","Interesantes","No","Buenas","Malas","Normal","Normal","Las clases prácticas, salvo por las que dio Lucas Román, fueron monótonas. Los criterios de corrección del parcial son claros, pero los del TP no: hasta la última clase nuestro corrector nos dijo que todo iba muy bien y la calificación no reflejó eso.

Las guías y material deberían actualizarse."
"2016/12/16 2:22:31 PM GMT-3","Seminario de Ingeniería Informática 1 - Cosso","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","No Hay Clases Prácticas","Normal","Normal",""
"2016/12/16 2:23:00 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Excelente","Sí","Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil","La predisposicion de los ayudantes y profesores fue excelente!"
"2016/12/16 2:24:17 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Bueno","No","Interesantes","Sí","Buenas","Buenas","Muy Dificil","Muy dificil",""
"2016/12/16 2:24:32 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2016/12/16 2:25:36 PM GMT-3","Organización de Datos - Argerich","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Normal",""
"2016/12/16 2:28:09 PM GMT-3","Computación-Burin","Bueno","Sí","Poco Interesantes","No","Regulares","Buenas","Normal","Normal","Teórica cero didactica"
"2016/12/16 2:30:03 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Bueno","No","Interesantes","Sí","Buenas","Regulares","Muy Dificil","Muy dificil",""
"2016/12/16 2:30:10 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Muy Bueno","Sí","Muy Interesantes","No","Muy Buenas","Regulares","Normal","Normal",""
"2016/12/16 2:30:48 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Bueno","No","Interesantes","Sí","Regulares","Regulares","Normal","Normal","En general estaba bueno, pero sentí que el apunte era más útil que los profesores, lo cual en parte se debió a que el apunte era muy bueno, y en parte a que los profesores daban lo mismo que el apunte. Creo que deberían haberse enfocado más en estresar qué cosas eran esenciales saber para poder hacer el resto."
"2016/12/16 2:33:07 PM GMT-3","Técnicas de Diseño - Pantaleo","Bueno","Sí","Interesantes","Sí","Malas","Muy Buenas","Normal","Dificil",""
"2016/12/16 2:33:20 PM GMT-3","Inteligencia Artificial - Cabrera","Malo","Sí","Muy Interesantes","No","Malas","Malas","Muy Facil","Muy Fácil","Los temas son muy interesantes, lamentablemente el profesor no los explica con profundidad ni rigurosidad. Los pocos apuntes que hay son breves y malos (en Wikipedia hay más información), la mayoría de temas se entienden mejor estudiando por cuenta propia. Hicimos un TP que no pudimos exponer debido a la falta de proyector y por lo visto ni siquiera fue revisado, no tuvimos devolución alguna para saber si cumplimos bien o no con la consigna. Aprobar fue sencillo, al no enseñar adecuadamente tampoco exigen demasiado en el examen (todo el mundo sabe que esos créditos ""se roban"", por eso es la cátedra más popular para los alumnos de intercambio), lo malo de esto es que uno se queda con la sensación de no haber aprendido nada."
"2016/12/16 2:34:10 PM GMT-3","Computación-Strobino","Bueno","Sí","Interesantes","No","Regulares","Buenas","Dificil","Dificil",""
"2016/12/16 2:35:24 PM GMT-3","Algoritmos y Programación 3 - Fontela","Bueno","Sí","Interesantes","Sí","Excelentes","Buenas","Normal","Dificil","La modalidad de parcial requiere que se te ocurra la implementación óptima en el primer pensamiento. Es inviable hacer cambios a los diagramas y el código en papel con el tiempo dado para resolver."
"2016/12/16 2:35:56 PM GMT-3","Organización de Datos - Argerich","Regular","Sí","Muy Interesantes","Sí","Malas","Malas","Dificil","Dificil",""
"2016/12/16 2:35:57 PM GMT-3","Teoría de la Programación / Teoría del Lenguaje - Wachenchauzer","Muy Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Normal","Normal","Una sugerencia:
El tp individual podría darse para la primera parte del cuatrimestre (que coincide con el contenido de las clases de los primeros meses) y hacerse la entrega a mitad de la cursada con re entregas por correcciones y así concentrar la segunda parte de la materia en el tp grupal y que no queden ambos tps amontonados en los últimos meses."
"2016/12/16 2:40:20 PM GMT-3","Inteligencia Artificial - Cabrera","Malo","Sí","Interesantes","No","Malas","No Hay Clases Prácticas","Muy Facil","Muy Fácil","solamente fui a la clase del parcial.
estudie el mismo dia en el bondi de un resumen que me habian pasado, me saque un 6
habia un tp que lo hizo un amigo así nomás. Teniamos que exponerlo un dia pero se corto la luz y directamente no hubo presesentacion
el otro dia fui al ""final"" y estaba cabrera firmando libretas y me puso un 7...
eso fue todo"
"2016/12/16 2:41:20 PM GMT-3","Inteligencia Artificial - Cabrera","Malo","Sí","Interesantes","No","Malas","No Hay Clases Prácticas","Facil","Muy Fácil","solamente fui a la clase del parcial.
estudie el mismo dia en el bondi de un resumen que me habian pasado, me saque un 6
habia un tp que lo hizo un amigo así nomás. Teniamos que exponerlo un dia pero se corto la luz y directamente no hubo presesentacion
el otro dia fui al ""final"" y estaba cabrera firmando libretas y me puso un 7...
eso fue todo"
"2016/12/16 2:44:08 PM GMT-3","Análisis Numérico - Menendez","Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Dificil","Dificil",""
"2016/12/16 2:52:45 PM GMT-3","Algoritmos y Programación 3 - Suarez","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Dificil","Nos hacian leer textos complicados en ingles"
"2016/12/16 2:53:41 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Muy Bueno","Sí","Interesantes","Sí","Buenas","Muy Buenas","Normal","Normal",""
"2016/12/16 2:55:15 PM GMT-3","Computación-Arriazu","Excelente","Sí","Interesantes","No","Muy Buenas","Muy Buenas","Facil","No hay TP","Las clases y su contenido está muy bien dado. Pero el hecho de que se vea Pascal, un lenguaje muy poco utilizado, hacen del curso uno no tan práctico."
"2016/12/16 2:55:29 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Normal",""
"2016/12/16 2:56:23 PM GMT-3","Arquitectura de Software - Diez","Regular","Sí","Muy Interesantes","No","Malas","Regulares","Muy Facil","Fácil",""
"2016/12/16 3:01:25 PM GMT-3","Análisis Numérico - Schwarz","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil",""
"2016/12/16 3:02:00 PM GMT-3","Teoría de la Comunicación - Caram","Malo","Sí","Poco Interesantes","No","Regulares","Regulares","Normal","Normal","Habiendo rendido el final la 1era fecha de diciembre, siendo la única persona que se presentó al mismo y el último final de la carrera, el profesor no sólo se negó a corregir el final en el momento sino que dijo que lo enviaba por mail al día siguiente y obviamente no fue así.  Pasada UNA SEMANA de haber rendido, se dignó a corregir el examen en el mismo momento que iba a entregarlo. Muestra una clara falta de responsabilidad hacia con el alumnado, y habla del tipo de persona que es.  Por otro lado, las clases son malas, y por esta razón nadie asiste. "
"2016/12/16 3:03:43 PM GMT-3","Algoritmos y Programación 1 - Mendez","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil",""
"2016/12/16 3:05:13 PM GMT-3","Implantación de Sistemas - Bettini","Bueno","Sí","Poco Interesantes","Sí","Buenas","Regulares","Normal","Fácil",""
