Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿El email puede ser mostrado al docente?
2/14/2020 20:34:02,75.01-95.01-Computación - 11 - Calvo,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,Excelente docente Patricia calvo ,Si
2/14/2020 23:21:21,75.01-95.01-Computación - 11 - Calvo,Muy Bueno,Sí,Interesantes,Sí,Buenas,Muy Buenas,Facil,Normal,,No
2/17/2020 0:20:13,75.01-95.01-Computación - 11 - Calvo,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,,Si
12/12/2019 10:34:00,75.01-95.01-Computación - 2 - Burin,Bueno,Sí,Poco Interesantes,Sí,Buenas,Buenas,Normal,Normal,,No
12/13/2019 9:10:35,75.01-95.01-Computación - 2 - Burin,Bueno,Sí,Interesantes,Sí,Buenas,Regulares,Normal,Fácil,,No
2/10/2020 21:23:26,75.01-95.01-Computación - 2 - Burin,Muy Bueno,Sí,Interesantes,Sí,Excelentes,Muy Buenas,Facil,Fácil,,
2/10/2020 21:25:30,75.01-95.01-Computación - 2 - Burin,Excelente,No,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,"Excelentes profesores, con mucha dedicación para que cada alumno comprenda los temas de la cursada ",Si
2/10/2020 21:29:18,75.01-95.01-Computación - 2 - Burin,Muy Bueno,No,Interesantes,Sí,Muy Buenas,Buenas,Normal,Dificil,,Si
2/10/2020 21:42:04,75.01-95.01-Computación - 2 - Burin,Muy Bueno,Sí,Interesantes,No,Muy Buenas,Buenas,Normal,Normal,,
2/10/2020 21:50:24,75.01-95.01-Computación - 2 - Burin,Regular,Sí,Interesantes,Sí,Regulares,Regulares,Normal,Dificil,,No
2/10/2020 21:59:43,75.01-95.01-Computación - 2 - Burin,Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Regulares,Dificil,Dificil,,Si
2/10/2020 22:15:03,75.01-95.01-Computación - 2 - Burin,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,
2/10/2020 23:56:20,75.01-95.01-Computación - 2 - Burin,Bueno,Sí,Muy Interesantes,Sí,Buenas,Buenas,Normal,Normal,,
2/11/2020 0:13:06,75.01-95.01-Computación - 2 - Burin,Bueno,Sí,Muy Interesantes,Sí,Buenas,Regulares,Facil,Fácil,Hubiera preferido que la explicación de Python fuese más progresiva y no tantas funciones en poco tiempo. Igualmente no tuvo gran dificultad pero seguramente hubiera facilitado el proceso de aprender a manejar el lenguaje ya que no tenía conocimientos previos,
2/11/2020 11:00:23,75.01-95.01-Computación - 2 - Burin,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Normal,Fácil,"Me gustó la clase y los profesores ya que podías consultar fuera de clase por mail y te respondían siempre. Me hubiera gustado tener otro horario ya que estar hasta las 11 PM no es lindo y muchos no van por eso, y los alumnos estarían más atentos si fuera más temprano ya que llegas cansado a esa hora. Después todo excelente. Muchas gracias por su tiempo.",Si
2/11/2020 21:07:37,75.01-95.01-Computación - 2 - Burin,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Dificil,,Si
2/12/2020 11:43:27,75.01-95.01-Computación - 2 - Burin,Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,No
2/12/2020 12:20:23,75.01-95.01-Computación - 2 - Burin,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,
2/20/2020 12:39:32,75.01-95.01-Computación - 2 - Burin,Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Normal,Dificil,,
2/20/2020 15:21:40,75.01-95.01-Computación - 2 - Burin,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Facil,Normal,,
12/12/2019 15:08:21,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Dificil,Excelentes profesores.,
12/13/2019 0:20:07,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Normal,Normal,,Si
12/13/2019 0:30:30,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,Excelente docente y persona. Contagia su amor por la materia. Un placer haber sido su alumno.,Si
2/13/2020 15:03:57,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Normal,Normal,,Si
2/13/2020 15:05:26,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Facil,Fácil,La profesora y la JTP fueron siempre muy atentas y tuvieron mucha predisposición para que el alumno aprenda. Excelente la cursada,Si
2/13/2020 15:06:52,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,
2/13/2020 15:10:10,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,"Muy buena profesora Cristina, todo acorde a lo explicado en clase.",
2/13/2020 15:11:04,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,,Si
2/13/2020 15:40:02,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,Si
2/13/2020 15:48:29,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,Si
2/13/2020 15:55:31,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Buenas,Muy Buenas,Dificil,Normal,,
2/13/2020 16:00:15,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Buenas,Muy Buenas,Normal,Normal,,
2/13/2020 16:24:39,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Buenas,Excelentes,Facil,Fácil,,Si
2/13/2020 16:25:24,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Buenas,Excelentes,Normal,Normal,,Si
2/13/2020 17:52:20,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Dificil,El método de enseñanza es excelente. Mucha prolijidad. ,Si
2/13/2020 20:06:51,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,
2/13/2020 20:37:37,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Dificil,"Me encantó. Sinceramente las profes hicieron que me guste la materia, siempre respondían ante cualquier duda, ya sea personalmente o por mail y eso me parece muy importante.",Si
2/13/2020 22:51:11,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,,No
2/13/2020 23:21:45,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Excelentes,Muy Buenas,Dificil,Muy dificil,,No
2/13/2020 23:34:04,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Buenas,Buenas,Normal,Normal,,
2/14/2020 0:21:29,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,Muy interesante,Si
2/14/2020 10:47:18,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Normal,Normal,"Excelente curso, las profesoras son muy pacientes, explican muy bien y se preocupan de verdad para que uno entienda y pueda aprender los conceptos ",Si
2/14/2020 14:16:12,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Excelentes,Normal,Normal,Muy buen curso donde realmente se aprenden los contenidos de la materia de una forma muy didáctica. Las profesoras siempre disponibles ante las dudas que se tengan y dispuestas a ayudar. Muy conforme con la cursada,Si
2/15/2020 12:44:22,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Normal,Dificil,,
2/15/2020 14:57:19,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Excelentes,Regulares,Normal,Normal,,No
2/16/2020 22:04:04,75.01-95.01-Computación - 3 y 10 - Perez Berro,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,"Muy util para los que no tienen una buena base de computacion, se entendio todo",Si
2/16/2020 22:25:27,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,"Me gusto la dinámica del curso. 
Me gusto el uso de power points para poder estudiar mejor. 
Muy simpáticas las profesoras, ayudaban mucho cuando teníamos alguna duda con el tp y la teoría.",
2/18/2020 1:35:40,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Muy Facil,Normal,"Me pareció que tiene el enfoque perfecto. En la primera clase la profesora dijo algo asi como:  ""Claramente no van a salir de aca siendo programadores profesionales, pero la idea es que aprendan a desarrollar soluciones a problemas de forma ordenada, secuenciada y logica"". ",Si
2/18/2020 1:35:49,75.01-95.01-Computación - 3 y 10 - Perez Berro,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Muy Facil,Normal,"Me pareció que tiene el enfoque perfecto. En la primera clase la profesora dijo algo asi como:  ""Claramente no van a salir de aca siendo programadores profesionales, pero la idea es que aprendan a desarrollar soluciones a problemas de forma ordenada, secuenciada y logica"". ",Si
12/12/2019 11:14:50,75.01-95.01-Computación - 5 - Arriazu,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Normal,No hay TP,,
12/12/2019 16:33:58,75.01-95.01-Computación - 5 - Arriazu,Excelente,Sí,Muy Interesantes,Sí,Muy Buenas,Buenas,Normal,Muy Fácil,"Todas las clases, con excepción de las dos primeras que sirvieron a modo de ""introducción"", se focalizaron en enseñarnos técnicas de programación y funcionamiento de Python. La materia era fácil de llevar al día, porque no había entregas constantes de trabajos como pasa en otras cátedras de computación. Esto hacía que, al menos yo, me sintiera interesado en buscar cosas por afuera de lo que veíamos y fuera, hasta cierto punto, ""construyendo"" mi conocimiento sobre programación. La profesora sabe muchísmo y sabe enseñar, aunque siento que algunos temas se estiraron o dilataron bastante, y optimizando más el tiempo hubiéramos llegado a conectar lo visto con cuestiones de matemática o ingeniería en general (a modo de ""aplicación posta"" de los temas expuestos). Sin embargo reconozco la predisposición constante de la docente y al terminar el curso, aprendí mucho, sin derrapar con temas innecesarios.",Si
1/3/2020 12:30:37,75.01-95.01-Computación - 5 - Arriazu,Muy Bueno,Sí,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,"Aprendí muy bien, entendiendo todo",Si
2/13/2020 13:42:58,75.01-95.01-Computación - 5 - Arriazu,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Facil,Muy Fácil,Genia Arriazu,Si
2/13/2020 13:56:06,75.01-95.01-Computación - 5 - Arriazu,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Fácil,,
2/13/2020 16:19:11,75.01-95.01-Computación - 5 - Arriazu,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,Excelente,No
2/13/2020 19:13:38,75.01-95.01-Computación - 5 - Arriazu,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Normal,Normal,Aprendí bien,Si
2/13/2020 23:56:46,75.01-95.01-Computación - 5 - Arriazu,Excelente,Sí,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,
2/14/2020 15:20:12,75.01-95.01-Computación - 5 - Arriazu,Malo,Sí,Interesantes,Sí,Malas,Regulares,Facil,Fácil,"Aunque el TP fue fácil de hacer, me pareció que no tenía sentido en el contexto de la materia porque se trata de escribir sobre cosas más subjetivas y de cómo uno ve al mundo actual, mientras que se supone que en la materia uno debe aprender sobre programación, y esperaría que el TP se relacione con eso.",No
2/14/2020 17:59:51,75.01-95.01-Computación - 5 - Arriazu,Regular,Sí,Muy Interesantes,Sí,Regulares,No Hay Clases Prácticas,Normal,Fácil,Las teoricas son pesadas ,No
2/15/2020 10:47:00,75.01-95.01-Computación - 5 - Arriazu,Muy Bueno,Sí,Interesantes,Sí,Buenas,Muy Buenas,Normal,Dificil,,No
2/16/2020 21:01:45,75.01-95.01-Computación - 5 - Arriazu,Muy Bueno,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,El contenido del curso esta enfocado hacia los fines prácticos. Me parece que para los tiempos que tiene el curso esta bien armado y no se pierde tiempo en contenidos innecesarios.,Si
12/12/2019 21:18:55,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Malo,Sí,Interesantes,Sí,Regulares,Malas,Muy Dificil,Muy dificil,,
12/19/2019 10:34:44,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Dificil,Costó un poco pero aprendí un montón. Me voy feliz,Si
1/27/2020 14:37:25,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Muy Dificil,Muy dificil,,
2/12/2020 11:12:35,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,"Muy bueno. Es exigente, pero la exigencia va de la mano con la calidad de la enseñanza. Mucha predisposición del docente para comunicarse con los alumnos y brindarle cualquier ayuda que necesiten a través de emails o a través del espacio “un lugar para algoritmear”, corrigiendo errores y brindando una idea de cómo resolver los problemas en caso de que sea difícil para el alumno.",Si
2/12/2020 11:30:14,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Regulares,Buenas,Dificil,Muy dificil,,Si
2/12/2020 11:56:14,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Regulares,Excelentes,Dificil,Dificil,"La exigencia constante de la profesora me ayudó a aprender e incorporar los temas dados en clase con profundidad. Las clases teóricas pueden ser aburridas de vez en cuando, sin embargo las prácticas eran muy interesantes. La utilización de ejemplos y material didáctico como el que utiliza la profesora en clase es importante para el entendimiento del contenido.",No
2/12/2020 12:32:16,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,,No
2/12/2020 13:12:40,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,No hay clases teóricas,Excelentes,Normal,Normal,,Si
2/12/2020 13:19:46,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Buenas,Dificil,Dificil,"Es un curso que requiere dedicación y trabajo para ser aprobado, no es recomendable dejar de prestarle atención a la materia ni faltar a las clases. Los trabajos prácticos en mi opinión eran muy extensos y por ende es probable que se junten con las responsabilidades de las demás materias lo que lleva quizás en algunos casos a no hacerlos o dejar que se encargue algún otro compañero del trabajo.",No
2/12/2020 13:20:51,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,Si
2/12/2020 13:21:46,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Interesantes,Sí,Excelentes,Excelentes,Normal,Normal,"El curso me pareció excelente ya que la profesora no solo dio los temas mínimos sino que se esforzó por que los comprendamos y analicemos de la mejor forma. Siempre respondió a la brevedad ante las consultas. 
El enfoque de el curso es aprender a pensar con las herramientas informáticas para después poder trasladarlo a otras materias o ámbitos.",Si
2/12/2020 13:31:02,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,"Muy bien dictado.Tiene muchos TPs que sirven para mantenerse al día, aprender y aprobar, pero demandan mucho tiempo. Me hubiese gustado que la materia profundizará un poco más.",Si
2/12/2020 13:43:54,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Dificil,Normal,"Muy completo, aprendi más herramientas de las que pensaba que iba a aprender. La exigencia es buena y brinda mucha información acerca de los temas dados.",Si
2/12/2020 14:17:25,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Dificil,Muy dificil,Es un curso muy exigente que implica un compromiso del alumno con la materia. Con dedicación y ayuda de la profesora yo he podido progresar y lograr aprobar la materia. Me deja muchas enseñanzas a nivel computacional pero a su vez a nivel académico lo cual resulta de suma importancia,
2/12/2020 14:32:15,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Dificil,"El curso de computación con Elizabeth Jiménez Rey me pareció excelente. Las clases son muy completas por lo que se pueden abordar los trabajos prácticos sin ningún problema, por mas que algunos me hayan resultado demandantes con mi grupo y la ayuda de la profesora lograbamos resolverlo. Estoy muy contento con el curso, sumamente recomendable!",Si
2/12/2020 14:37:38,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Muy Interesantes,Sí,Excelentes,Buenas,Dificil,Muy dificil,"Curso exigente, te obliga a estar al día con los contenidos de la materia y te impulsa a dedicarle tiempo, lo cual resulta muy útil a futuro. Las clases teóricas son muy importantes para poder entender los conceptos y los ejercicios propuestos ejemplifican muy bien los contenidos teóricos aprendidos",Si
2/12/2020 14:41:00,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Normal,Dificil,"El nivel del curso es muy bueno, las clases y las guías son muy completas",Si
2/12/2020 16:15:22,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Buenas,Excelentes,Dificil,Dificil,"El curso me pareció bastante didáctico, los problemas a resolver siempre estaban bien enfocados por lo que siempre ayudan a adquirir la herramienta de programación de manera eficaz.
La profesora siempre se mostró predispuesta a ayudar dentro y fuera del aula.",Si
2/12/2020 16:26:59,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Normal,Normal,"Este curso ayudó a formar un pensamiento computacional práctico, con el cual se llega a entender bien la lógica con la cual se debe programar y además, se llego a conocer las principales herramientas de phyton y como utilizarlas. Pienso que en la parte teórica, los temas deberían estar un poco mas actualizados, pero igualmente ayuda a entender como funcionan los ordenadores hoy en día.",Si
2/12/2020 19:47:15,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Buenas,Muy Buenas,Dificil,Dificil,Todos los contenidos tomados fueron vistos y explicados en clase. El material subido al campus fue de mucha ayuda. Las clases presenciales se hacían un poco extensas. Buena predisposición de la profesora para responder dudas.,Si
2/12/2020 20:12:35,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,No,Muy Interesantes,Sí,Muy Buenas,Muy Buenas,Dificil,Dificil,Buena metodología de enseñanza.,Si
2/12/2020 20:25:24,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Dificil,Dificil,El curso me pareció muy bueno.,Si
2/12/2020 21:23:16,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Muy Buenas,Excelentes,Dificil,Dificil,"Me pareció un curso muy completo de computación, aprendí cosas que no pensé que podría hacer, desde programar hasta entender como almacena y procesa información una computadora. Las clases fueron muy buenas y altamente recomendables, sobre todo la parte práctica. La profesora muy ordenada con los temas, siempre acompañada de diapositivas o incluso afiches/diagramas para entender algunos temas, y muy accesible en todo momento, muy atenta ya que seguía de cerca nuestros procesos de programación por medio del drive institucional y siempre respondía las dudas rápidamente. El método de pensamiento computacional parecía largo al principio, pero una vez que uno se familiariza con este es muy efectivo a la hora de algoritmiar, y creo que es una manera de pensar los problemas que me ayudará a lo largo de la carrera.",Si
2/12/2020 22:01:14,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Dificil,Dificil,Muy bueno. Al iniciar el curso no sabía absolutamente nada de programación y con el correr de las clases fui adquiriendo herramientas para ir resolviendo problemas cuya complejidad era bastante elevada. Me voy muy satisfecho con el curso.,Si
2/13/2020 1:35:19,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,,Si
2/13/2020 14:18:04,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Excelentes,Normal,Normal,Funciona para alguien que no estaba metido en tema antes de empezar el curso. ,Si
2/13/2020 20:06:46,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Dificil,"Muy buen curso! La forma en que aprendimos a encarar y resolver los problemas me fue (y sigue siendo) útil en otras materias y situaciones. También es muy positivo cómo la profesora se preocupa por que entendamos y aprendamos, nos facilita todo el material posible, nos muestra la conexión entre la materia y la carrera y está en constante búsqueda de mejorar la enseñanza.",
2/14/2020 9:16:28,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Normal,"Creo que durante el transcurso de la materia, no solo aprendimos computación , sino que también a pensar y analizar los problemas de una forma inteligente, tratando de utilizar la menor cantidad de recursos para  resolver un problema de la mejor manera posible.
Elizabeth es muy dedicada, se preocupa porque aprendamos, está muy presente en el transcurso de la materia y nos ofrece todas las herramientas posibles para terminar de la mejor forma. Es una excelente profesora. ",Si
2/14/2020 16:36:17,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Dificil,Dificil,"Me gustó mucho el curso, al principio parecía muy difícil, pero las clases, el acompañamiento en la realización de los trabajos y el material siempre disponible fueron suficientes para poder adquirir las herramientas necesarias para transitar la cursada y darse cuenta de que lo difícil era pensar cómo resolver un problema, y de ahí transmitírselo a una máquina era mucho más fácil.",Si
2/14/2020 18:09:33,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Excelentes,Buenas,Normal,Normal,muy buena profesora,Si
2/14/2020 19:14:08,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Muy Bueno,Sí,Interesantes,Sí,Muy Buenas,Muy Buenas,Normal,Normal,"La cursada fue muy buena, con un buen seguimiento de las clases y los ejercicios los TP se podían resolver sin mucha dificultad, lo que ayudaba a qué la cursada sea llevadera y no se haga pesada",Si
2/17/2020 14:59:17,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,Sí,Muy Interesantes,Sí,Excelentes,Excelentes,Dificil,Dificil,,Si
2/18/2020 8:18:25,75.01-95.01-Computación - 6 y 9 - Jimenez Rey,Excelente,No,Muy Interesantes,No,Muy Buenas,Excelentes,Normal,Dificil,,Si
