"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2018/12/07 10:55:01 AM GMT-3","Proyectos Informáticos - Fontela","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Buenas","Normal","Normal",""
"2018/12/07 10:55:01 AM GMT-3","Proyectos Informáticos - Fontela","Bueno","Sí","Interesantes","Sí","Excelentes","Buenas","Normal","Normal",""
"2018/12/07 10:57:03 AM GMT-3","Base de Datos - Beiro","Excelente","Sí","Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Normal","Excelente. Las clases son, a mi parecer, muy intensas tal vez para el punto de la carrera en el que se cursa. La mayoria de los alumnos viene del trabajo y tener 6 horas seguidas de clase intensa es muy dificil; sobre todo si se va a la teórica, luego de una hora de práctica ya es dificil seguir que esta pasando.
De todas formas, la materia está muy bien preparada, los profesores (principalmente Mariano) estan muy dedicados a la materia y se nota, tanto en el dictado de clases como en la atención que brindan a todas las consultas que se hagan por Slack (canal oficial de comunicacion). Es demandante pero demandan la misma intensidad que ellos brindan."
"2018/12/07 10:57:44 AM GMT-3","Administración y Control de Proyectos 1 - Fontela","Bueno","Sí","Interesantes","Sí","Muy Buenas","Regulares","Normal","Dificil","La teórica me parece muy buena, el profesor Carlos sabe de todos los temas de la materia y los transmite muy bien. Lo que en mi opinión no son muy buenas son las clases prácticas, son muy desorganizadas. En cuanto al TP no me pareció bien que la nota sea en base a lo que uno habla en la presentación final ya que en mi caso ocurrió que una compañera no hizo demasiado del TP pero habló más que yo en la presentación (que si hice cosas del TP) y le quedó mejor nota. Me parece que deberían hacer un seguimiento de lo que hace cada uno en el TP o bien poner la misma nota a todos."
"2018/12/07 10:58:04 AM GMT-3","Base de Datos - Beiro","Excelente","Sí","Interesantes","Sí","Excelentes","Muy Buenas","Normal","Normal","Muy buen nivel de los profesores, sobre todo de Mariano. Se ven muchos temas en profundidad, más de lo que me esperaba para un curso de base de datos (lo cual para mi es algo bueno!), y el TP y el parcial son acordes a los temas vistos en clase. "
"2018/12/07 11:00:38 AM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Buenas","Muy Buenas","Dificil","Dificil",""
"2018/12/07 11:01:46 AM GMT-3","Base de Datos - Beiro","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Buenas","Normal","Fácil","Las prácticas deberían ser 100% ejercicios, en lugar de pasar la mitad del tiempo repitiendo lo que se vio una hora antes en la teórica"
"2018/12/07 11:02:04 AM GMT-3","Algoritmos y Programación 1 - Essaya","Excelente","No","Muy Interesantes","Sí","Muy Buenas","Excelentes","Normal","Dificil","Me pareció que me sobró el tiempo para hacer los primero trabajos prácticos (contando ejercicios para entregar) y me faltó el tiempo para hacer los últimos. Creo que sería ideal medir esos tiempos un poco mejor."
"2018/12/07 11:04:15 AM GMT-3","Métodos y Modelos de la Ing. del Software II / Técnicas de Diseño - Paez","Regular","Sí","Interesantes","Sí","Regulares","Buenas","Dificil","Dificil","El curso esta bueno y tiene contenido actualizado. NO ME GUSTO PARA NADA el trato del profesor Nicolas Paez. Creo que los profesores esperan cierto respeto desde los alumnos y los alumnos esperamos lo mismo, lo cual le falto por lejos a Nicolas. No puede ser que sus devoluciones de tp sean ""Esto es una mierda"" o ""Esto es una chotada"" (perdon pero son sus expresiones). Creo que le falta muchisimo tacto y pedagogia. Con ese tipo de devoluciones no consigue que los alumnos se den cuenta de sus errores y de esa manera no los cometan mas. Tambien me parecio muy mal que exponga distintas situaciones en la lista en la que nos encontrabamos todos los alumnos. Por ejemplo el caso de una alumna que estaba atrasada con las tareas semanales. En vez de comunicarse por privado y aclararle su situación, Nicolas enviaba constantemente mails a la lista repitiendole a esa chica que la iba a dejar fuera de la materia. Puede ser que en un momento de la materia, se acumularon muchas tareas y realmente se necesitaba mucho tiempo para tenerla al dia y tal vez ese fue el motivo por el que la alumna no tenia las tareas al dia, pero mas alla de eso, me parece que hay otras formas de tratar a los alumnos. Asi, podriamos encontrar muchas situaciones mas en las que el trato del profesor a el alumno DEJA MUCHO QUE DESEAR.
Con respecto a emilio, es crack."
"2018/12/07 11:05:38 AM GMT-3","Computación-Cabrera","Malo","Sí","Muy Interesantes","Sí","Buenas","Malas","Muy Facil","Fácil",""
"2018/12/07 11:07:43 AM GMT-3","Métodos y Modelos de la Ing. del Software II / Técnicas de Diseño - Paez","Excelente","Sí","Interesantes","Sí","Buenas","Muy Buenas","Facil","Normal","Muchas ganas a la buena enseñanza "
"2018/12/07 11:07:58 AM GMT-3","Taller de Desarrollo de Proyectos 2 - Fontela","Muy Bueno","Sí","Interesantes","Sí","No hay clases teóricas","Muy Buenas","Normal","Dificil","Se aprecia y ve muy claro el aprendizaje a lo largo de la cursada"
"2018/12/07 11:08:11 AM GMT-3","Organización de Datos - Argerich","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Buenas","Dificil","Dificil",""
"2018/12/07 11:09:23 AM GMT-3","Análisis de la Información / Métodos y Modelos de la Ing. del Software I - Villagra","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2018/12/07 11:13:10 AM GMT-3","Base de Datos - Beiro","Excelente","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Fácil",""
"2018/12/07 11:27:18 AM GMT-3","Simulación - Caiafa","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Normal",""
"2018/12/07 11:32:15 AM GMT-3","Base de Datos - Beiro","Muy Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Dificil","Muy Fácil","Las teóricas son imposibles de seguir. Te distraes un minuto y es difícil retomar.. y es muy fácil distraerse. Igual las diapositivas y la bibliografía parecen buen material.

El TP es muy fácil, nosotros tuvimos que estar sobre nuestro corrector no el sobre nosotros.. la idea de los parcialitos es muy buena, sin embargo su dificultad con el parcial que tomaron nada que ver. Agregaron media hora al examen pero lo hicieron mucho más largo, no sé si alguien llegó a hacer todo bien.

El TP tiene muy poco peso en la nota y en la cursada, algo medio raro para mí en una materia de computación.. deberían exigir más en el tp y hacerla promocionable. El final parece jodido también 
"
"2018/12/07 11:32:31 AM GMT-3","Base de Datos - Beiro","Excelente","Sí","Interesantes","Sí","Muy Buenas","Buenas","Dificil","Fácil","Se nota que hay mucho laburo detras de la catedra y clases, es muy bueno. Beiro es muy buen profe, se nota que las clases las tiene muy preparadas y que sabe un monton. Es bueno que haya mas profes como el en la facultad. Lo unico que diria como critica constructiva es, las clases teoricas se hacen muy dificil de seguir. Se que es poco el tiempo que tiene, pero creo que llega un punto de la clase en que es complicado concentrarse debido al ritmo que lleva el profe. Tal vez estaria bueno si cambian un poco la metodologia de la materia, cortar algun tema, dar una hora menos de practica y una mas de teorica o algo por el estilo. Creo que donde mas se aprende es en la teorica y estaria bueno que se le de mas importancia, porque lo que me paso en particular fue que cuando terminaba la teorica e iba a la practica empezaban denuevo con los temas para los alumnos que no habian ido a la teorica, y ahi se pierde mucho tiempo. tal vez estaria bueno que se de una hora mas de teorica y luego ir a la practica a justamente poner en practica directamente esos temas, no a volver a ver lo mismo. Mas alla de eso, buenisima catedra, y hay que destacar la predisposicion de absolutamente todos los profesores. Atentos en todo, durante toda la cursada."
"2018/12/07 11:33:33 AM GMT-3","Simulación - Caiafa","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal","La materia me pareció muy intersante y se nota de la cursada que el profesor Caiafa tiene mucho conocimiento sobre los temas tratados. El contenido de las teóricas fue bueno, con material de lectura y consulta. Lo único negativo es que en algunas clases puso mucho énfasis en resolver cuentas y ecuaciones que no aportaban a los temas tratados o al a demostración a realizar.

Los trabajos prácticos fueron acordes a los contenidos de la materia y se aplico en el mismo todos los temas. En las clases prácticas se repaso y se vieron ejemplos de todos los temas vistos en la teórica resolviendo todas las dudas que surgen."
"2018/12/07 11:36:20 AM GMT-3","Simulación - Caiafa","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal","Se nota mucho la dedicación que le ponen al al armado y dictado de las clases, siempre con muy buena predisposición para aclarar cualquier tipo de duda."
"2018/12/07 11:40:49 AM GMT-3","Computación-Burin","Bueno","Sí","Poco Interesantes","No","Buenas","Regulares","Facil","Dificil",""
"2018/12/07 11:43:01 AM GMT-3","Computación-Cabrera","Bueno","Sí","Interesantes","Sí","Muy Buenas","Regulares","Normal","Normal","Cabrera muy bueno y claro explicando. Las practicas la mayoria de las veces me iba porque me mareaban mas que otra cosa; excepto cuando venía Pablo, sus practicas excelentes, te hacia entender TODO en unos minutos."
"2018/12/07 11:43:08 AM GMT-3","Simulación - Caiafa","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal","La cursada estuvo muy buena. Tengo entendido que se actualizo muchísimo todo con respecto a lo anterior.
A nivel personal, me gustaría que algunas clases sean un poco menos teóricas y hacer mas cosas prácticas.
Los temas me parecieron copados, los profesores de calidad y con buena onda."
"2018/12/07 11:44:03 AM GMT-3","Teoría de la Programación / Teoría del Lenguaje - Ferrigno","Excelente","Sí","Muy Interesantes","Sí","Buenas","No Hay Clases Prácticas","Normal","Dificil","Es una materia rara y linda. La dificultad del TP va a depender del lenguaje que te toque. 
La verdad estoy muy contento porque me lleve muchos conceptos que antes capaz aplicaba pero no los conocía en profundidad y también otras cosas nuevas. Además me tocó un lenguaje muy copado y que se usa en la industria y me vino bárbaro. 
Creo que escuche por ahí que Leandro quiere sacar Oz de la materia. Yo lo haría totalmente, es una porquería y los conceptos se pueden mostrar en otros lenguajes tranquilamente.

Lo único que capaz me molestó un poco es que me dió la sensación que la nota del TP fue más por la presentación que por todo el laburo que hubo atrás, si son 2 personas es muy fácil coordinar una presentación, siendo 4+ no, uno se llega a trabar y perdés mucho tiempo, y si se le da poco tiempo a cada uno es difícil que cierre una idea, además de que se siente más presionado porque lo tiene que hacer en menos tiempo, y esto no pasaría si el grupo fuera más chico. 

Me pareció una excelente materia que debería ser obligatoria "
"2018/12/07 11:45:29 AM GMT-3","Base de Datos - Beiro","Muy Bueno","Sí","Interesantes","Sí","Excelentes","Buenas","Dificil","Fácil","La materia es excelente. En especial el profesor Beiro, sabe muchísimo, le encanta enseñar y se nota. Los profesores de la practica también son buenos y están predispuestos a ayudar con cualquier duda.
Como comentario al margen, las clases teóricas resultan por momentos excesivamente teóricas. Estaría bueno enfatizar más en ejemplos prácticos o aplicables a la realidad de la industria. Esto se hace, pero sería mejor hacerlo aún más. Y también tener más pausas durante las clases porque se hacen muy pesadas.
Estos comentarios son solo porque creo que puede mejorar, pero el nivel de este curso ya es altísimo. De las materias mejores dadas de la carrera."
"2018/12/07 11:48:23 AM GMT-3","Taller de Desarrollo de Proyectos 2 - Fontela","Bueno","Sí","Interesantes","Sí","No hay clases teóricas","Buenas","Dificil","Muy dificil","Mucho codeo, poca gestión. Una oportunidad desaprovechada para practicar la gestión antes de terminar la carrera."
"2018/12/07 11:56:50 AM GMT-3","Análisis Numérico - Schwarz","Regular","Sí","Poco Interesantes","Sí","Buenas","Muy Buenas","Normal","Dificil","Para los civiles tener una materia en esta altura de la carrera, resulta ser aburrida porque es puramente científica y no se muestra de que forma se aplica en nuestro campo, entonces se va perdiendo el interés. La materia no es mala, pero debería estar al comienzo de la carrera ya que se uso más la correlatividsd de análisis que la de estabilidad 2. "
"2018/12/07 11:56:55 AM GMT-3","Simulación - Caiafa","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2018/12/07 11:57:01 AM GMT-3","Administración y Control de Proyectos 1 - Fontela","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Malas","Normal","Dificil","La teórica es excelente, y los temas son muy interesantes y aplicables en la vida laboral. Además, la posibilidad de promocionar la materia, dando una clase y cumpliendo una serire de requisitos, es un motivador para llevarla al día. La evaluación por parcialitos me pareció acertada. Las clases prácticas me parecieron MUY MALAS. Se debaten casos de ejemplo muy en el aire. Todos opinan, no te queda nada. Encima los conceptos se aplican recién en las últimas 3 semanas (cuando hacés el TP), y tenés que estudiar y releer todo. Al margen de que nunca lo practicaste bien. No hay criterio de corrección unánime entre grupos. Algunos tienen que matarse codeando y otros escriben user stories. No me pareció justo"
"2018/12/07 11:58:06 AM GMT-3","Análisis Numérico - Schwarz","Muy Bueno","Sí","Muy Interesantes","Sí","Malas","Excelentes","Normal","Normal","En las teóricas no se muestra un hilo de pensamiento claro respecto de lo que se quiere lograr y cómo se piensa estructurar las demostraciones, por lo que en la mayoría de los casos el alumno tiene que estudiar del apunte de clases, que es muy bueno. En las prácticas, en cambio, se dan muy buenas explicaciones de los temas vistos y en muchos casos es mejor introducción al tema que el apunte, al que igualmente hay que recurrir después. Los trabajos prácticos son muy interesantes y me parece que están bien planteados para permitir que los alumnos desarrollen sus propias conclusiones y experimenten con el contenido de la materia."
"2018/12/07 11:58:50 AM GMT-3","Simulación - Caiafa","Bueno","Sí","Interesantes","Sí","Buenas","Regulares","Normal","Normal","No pude asistir a las teóricas. Solo con las clases prácticas se me hizo dificil entender los temas de la materia. El apoyo de las clases teóricas en bibliografía académica me pareció un salto de calidad en comparación a otras materias, pero me costó hacerme el tiempo para realizar las lecturas sugeridas y asimilar los temas."
"2018/12/07 12:05:43 PM GMT-3","Algoritmos y Programación 2 - Buchwald","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Buenas","Dificil","Dificil",""
"2018/12/07 12:06:06 PM GMT-3","Base de Datos - Servetto","Bueno","Sí","Interesantes","Sí","Regulares","Buenas","Normal","Normal",""
"2018/12/07 12:06:12 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Buenas","Facil","Normal","Se aprende mucho. Es un curso accesible pero se aprenden buenas bases y a desarrollar un proyecto."
"2018/12/07 12:08:27 PM GMT-3","Organización de Datos - Argerich","Regular","Sí","Poco Interesantes","Sí","Malas","Malas","Dificil","Muy dificil",""
"2018/12/07 12:11:51 PM GMT-3","Administración y Control de Proyectos 1 - Fontela","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Dificil",""
"2018/12/07 12:12:45 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Normal","Dificil","Muy buenos profesores!!"
"2018/12/07 12:13:09 PM GMT-3","Análisis Numérico - Sassano","Excelente","Sí","Poco Interesantes","Sí","Excelentes","Excelentes","Normal","Normal",""
"2018/12/07 12:15:13 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil",""
"2018/12/07 12:16:31 PM GMT-3","Inteligencia Artificial - Cabrera","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal","Es una materia que se actualizó y mejoró mucho en cuanto a las tecnologías que se usan. Antes era una buena materia, pero las tecnologías eran obsoletas. Los temas se dan igual de bien que siempre, y se evalúa bien. Los tps SIRVEN, ya sea para aprender una nueva tecnología o para aprender temas nuevos. Me alegra mucho (por lo útil) el cambio."
"2018/12/07 12:23:12 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Interesantes","Sí","Excelentes","Excelentes","Dificil","Muy dificil","Excelentes profesionales, pero estaría bueno tener un laboratorio más grande. Así podemos ir a las compus más seguido"
"2018/12/07 12:26:05 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Facil","Fácil",""
"2018/12/07 12:28:21 PM GMT-3","Algoritmos y Programación 1 - Mendez","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2018/12/07 12:29:46 PM GMT-3","Mêtodos Matemáticos y Numéricos - Cavaliere","Regular","Sí","Interesantes","Sí","Regulares","Regulares","Normal","Normal","El horario es malísimo. No puede ser la teórica a la mañana y la practica a la noche, siendo cátedra única."
"2018/12/07 12:33:43 PM GMT-3","Métodos y Modelos de la Ing. del Software II / Técnicas de Diseño - Paez","Bueno","Sí","Nada Interesantes","Sí","Buenas","Buenas","Normal","Normal","Creo que el enfoque adoptado para enseñar la materia (aula invertida con entregas semanales para la evaluación continua) está bien, pero los temas son demasiado aburridos. Honestamente, me dormí en más de una lectura, y en otras en las que permanecí despierto sentí que me estaban vendiendo humo de colores. Si bien rescato algunos temas que estuvieron buenos, en general la temática de la materia fue bastante desmorivante.
No obstante, es muy de destacar la voluntad y esfuerzo de los profesores, que siempre estaban ahí atentos a la situación de todos, y siempre muy abiertos a buscar feedback constante. "
"2018/12/07 12:38:17 PM GMT-3","Administración y Control de Proyectos 1 - Fontela","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Normal","Normal",""
"2018/12/07 12:39:52 PM GMT-3","Métodos y Modelos de la Ing. del Software II / Técnicas de Diseño - Paez","Excelente","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil","Materia bastante actualizada, que hace que muchas otras dejen bastante que desear. En lo personal me pareció que Nicolás, aunque buen tipo y amigable cuando quería, tuvo _de a momentos_ una actitud medio fuerte a con algunos alumnes. Tampoco demasiado ni digo que no se le podía charlar, pero por ahí su tono no es tan bien recibido como él cree. Emilio me pareció excelente, amigable, disponible. El curso muy bueno, aún si te tienen trabajando constantemente. Reduciría un 10 % la carga, ya que considerando que pide presencia constante (en las épocas de TPs), se vuelve más pesada de lo que es en los números."
"2018/12/07 12:45:21 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Dificil",""
"2018/12/07 12:45:45 PM GMT-3","Análisis de la Información / Métodos y Modelos de la Ing. del Software I - Villagra","Bueno","Sí","Interesantes","Sí","No hay clases teóricas","Buenas","Normal","Normal"," Los docentes y los ayudantes le ponen muchas ganas para que las clasen salgan bien, una de las cosas que mas destaco es la buena onda a la hora de responder consultas y las ganas que transmiten de que se entiendan las cosas.

 Los contenidos de la materia me resultaron interesantes, y me parece que la modalidad de aula invertida hace que se incorporen mucho mejor los conceptos

 Unico punto bajo, tengo que decirlo, es el incumplimiento con el horario de cursada. Las clases arrancan puntual siempre, pero muchas veces (Las teoricas diria que casi en su totalidad) terminan 15 o 20 minutos tarde, incluso en una ocasion 45 minutos. Lo atribuyo mas que nada a que hay casos en donde se detienen mucho tiempo con asuntos que no van al caso o que no tienen tanta importancia. El resto impecable"
"2018/12/07 12:46:50 PM GMT-3","Seminiario de Ing. Informática - Caram","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Facil","No hay TP","Pocos alumnos, contenido muy accesible y ambiente amigable. Tal vez vería más en profundidad las aplicaciones."
"2018/12/07 12:53:43 PM GMT-3","Computación-Perez Berro","Excelente","Sí","Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil",""
"2018/12/07 12:58:08 PM GMT-3","Algoritmos y Programación 3 - Fontela","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Muy dificil",""
"2018/12/07 1:04:55 PM GMT-3","Mêtodos Matemáticos y Numéricos - Cavaliere","Regular","Sí","Poco Interesantes","No","Regulares","Regulares","Normal","Dificil",""
"2018/12/07 1:05:29 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Kuhn","Muy Bueno","Sí","Interesantes","Sí","Buenas","Muy Buenas","Normal","Muy dificil","Kuhn es una muy buena docente cuyas teóricas están infravaloradas. Tiene una manera de programar que no se condice con la de la práctica y los ejercicios que toma no son muy felices, pero la parte de algoritmos se entiende bien gracias a ella. A Pato Moreno me lo habían pintado mucho mejor de lo que es. Nadie duda de sus capacidades pero al menos este cuatrimestre se lo notó cansado y muy ocupado. Algo que particularmente me molestaba es que te va tirando el código y no sabés bien qué está haciendo hasta que lo termina. Los parcialitos fueron normales, alguno rebuscado con el tiempo. El TP1 fue sencillo pero el TPF fue una tortura (innecesariamente). Demasiado largo. Es un buen curso, no creo que sea más difícil de aprobar que el de Cardozo"
"2018/12/07 1:10:12 PM GMT-3","Algoritmos y Programación 1 - Essaya","Excelente","Sí","Interesantes","Sí","Excelentes","Excelentes","Dificil","Muy dificil","Se nota que les importa el alumno y quieren que realmente entienda"
"2018/12/07 1:10:14 PM GMT-3","Computación-Lage","Regular","No","Interesantes","Sí","Regulares","Regulares","Normal","Muy dificil",""
"2018/12/07 1:11:57 PM GMT-3","Taller de Programación 1 - Veiga","Excelente","Sí","Muy Interesantes","Sí","Buenas","Buenas","Normal","Dificil","Muy buen curso, aunque el final es absolutamente innecesario ya que no demuestra conocimiento, los trabajos prácticos deberían definir la nota."
"2018/12/07 1:12:30 PM GMT-3","Organización de Datos - Argerich","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil",""
"2018/12/07 1:12:54 PM GMT-3","Base de Datos - Beiro","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2018/12/07 1:13:00 PM GMT-3","Análisis Numérico - Griggio","Regular","Sí","Poco Interesantes","No","Buenas","Buenas","Normal","Normal",""
"2018/12/07 1:13:45 PM GMT-3","Base de Datos - Beiro","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Regulares","Facil","Muy Fácil","Las clases teóricas de Mariano son excelentes y suficientes para aprobar, las prácticas están desaprovechadas. La idea de los parcialitos es buena."
"2018/12/07 1:13:55 PM GMT-3","Algoritmos y Programación II, Juárez","Excelente","Sí","Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Normal","Excelente y recomendable cátedra de algoritmos 2"
"2018/12/07 1:18:16 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Normal","Son excelentes. "
"2018/12/07 1:21:16 PM GMT-3","Proyectos Informáticos - Fontela","Muy Bueno","Sí","Interesantes","Sí","Buenas","Muy Buenas","Normal","Normal",""
"2018/12/07 1:22:16 PM GMT-3","Algoritmos y Programación 2 - Buchwald","Muy Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Normal","Dificil",""
"2018/12/07 1:29:47 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil","Muy bueno, lo disfrute mucho. Todos los profesores y ayudantes le ponen muchas ganas para que los alumnos aprendan "
"2018/12/07 1:30:45 PM GMT-3","Análisis de la Información / Métodos y Modelos de la Ing. del Software I - Villagra","Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Dificil","Dificil",""
"2018/12/07 1:31:01 PM GMT-3","Análisis de la Información / Métodos y Modelos de la Ing. del Software I - Villagra","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Dificil",""
"2018/12/07 1:36:11 PM GMT-3","Taller de Programación 3 - Alvarez Hamelin","Regular","Sí","Poco Interesantes","Sí","No hay clases teóricas","No Hay Clases Prácticas","Normal","Normal","Muy aburrido el TP, consistió básicamente en terminar un trabajo que el profesor ya había empezado antes con otros alumnos en sus tesis, no hubo opción, ni siquiera como hacían antes, de hacer algo para algún laboratorio de la facultad,etc. NO APRENDÍ NADA NUEVO"
